fold,epoch,model,loss,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,learning_rate
1,1,ResNet50_Fold1,0.13043684580707518,96.16780045351474,0.9820075757575758,0.9405895691609978,0.9608524438267315,2074,38,2167,131,0.0001
1,2,ResNet50_Fold1,0.07267174811061958,96.5079365079365,0.9794296400187004,0.9501133786848073,0.964548802946593,2095,44,2161,110,0.0001
1,3,ResNet50_Fold1,0.054053389274117035,96.75736961451247,0.9627468581687613,0.9727891156462585,0.967741935483871,2145,83,2122,60,0.0001
1,4,ResNet50_Fold1,0.040538399336187664,96.4172335600907,0.9675650982183646,0.9605442176870749,0.9640418752844788,2118,71,2134,87,0.0001
1,5,ResNet50_Fold1,0.03194639365935565,96.84807256235828,0.9712591240875912,0.9655328798185941,0.9683875369570162,2129,63,2142,76,0.0001
1,6,ResNet50_Fold1,0.023499531410709387,96.80272108843538,0.98,0.9555555555555556,0.9676234213547646,2107,43,2162,98,0.0001
1,7,ResNet50_Fold1,0.017310759425487522,96.4172335600907,0.9776014932337844,0.9501133786848073,0.9636614535418583,2095,48,2157,110,0.0001
1,8,ResNet50_Fold1,0.016838000968809996,96.80272108843538,0.9733944954128441,0.962358276643991,0.9678449258836944,2122,58,2147,83,0.0001
1,9,ResNet50_Fold1,0.016731702760109223,96.89342403628119,0.9682971014492754,0.9696145124716553,0.9689553591661002,2138,70,2135,67,0.0001
1,10,ResNet50_Fold1,0.011543974256690726,96.73469387755102,0.975103734439834,0.9591836734693877,0.9670781893004116,2115,54,2151,90,0.0001
1,11,ResNet50_Fold1,0.002976317457856514,96.91609977324262,0.9717282261741906,0.9664399092970521,0.9690768531150523,2131,62,2143,74,1e-05
1,12,ResNet50_Fold1,0.0007835966680814814,97.0294784580499,0.9713636363636363,0.9691609977324263,0.970261066969353,2137,63,2142,68,1e-05
1,13,ResNet50_Fold1,0.0005669658911314848,97.00680272108843,0.9700680272108844,0.9700680272108844,0.9700680272108844,2139,66,2139,66,1e-05
1,14,ResNet50_Fold1,0.00030647491179598035,96.93877551020408,0.9739010989010989,0.964625850340136,0.9692412850307587,2127,57,2148,78,1e-05
1,15,ResNet50_Fold1,0.00020012787651336916,96.93877551020408,0.9747706422018348,0.963718820861678,0.9692132269099202,2125,55,2150,80,1e-05
1,16,ResNet50_Fold1,0.0001625626048544159,96.89342403628119,0.9743119266055046,0.963265306122449,0.968757126567845,2124,56,2149,81,1e-05
1,17,ResNet50_Fold1,0.00010670630559654153,97.0294784580499,0.9743824336688015,0.9659863945578231,0.9701662491459804,2130,56,2149,75,1e-05
1,18,ResNet50_Fold1,8.47876092517135e-05,97.1655328798186,0.9722979109900091,0.9709750566893424,0.9716360335829363,2141,61,2144,64,1e-05
